Ref_Key,Number,Date,Posted,Контрагент_Key,ДоговорКонтрагента_Key,СуммаДокумента,ВалютаДокумента_Key,Организация_Key,ДокументОснование,ДокументОснование_Type
7277f0a2-9754-11ef-9ee0-c2391847283c,00000000001,2024-10-31T11:50:42,true,0bd7f416-37ad-11ef-82e3-c2391847283c,0be87b38-37ad-11ef-82e3-c2391847283c,21944,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,ac2d03e0-7ef5-11ef-9ba1-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
a723af38-ffca-11ef-9350-c2391847283c,00000000001,2025-03-11T12:59:11,true,653e1f80-e9b0-11ee-85e6-c2391847283c,65466eec-e9b0-11ee-85e6-c2391847283c,22689,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,6c303f6e-dd4b-11ef-82d4-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
c8d0583c-ffd6-11ef-9350-c2391847283c,00000000002,2025-03-11T12:59:13,true,653e1f80-e9b0-11ee-85e6-c2391847283c,65466eec-e9b0-11ee-85e6-c2391847283c,36582,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,0bdc9cfc-6465-11ef-953c-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
b35fa106-02fb-11f0-9df0-c2391847283c,00000000003,2025-03-14T15:00:00,true,8a548684-68f3-11ef-9788-c2391847283c,8a5ec176-68f3-11ef-9788-c2391847283c,89920,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,2b394f8e-f82e-11ef-9099-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
0bdccc32-115c-11f0-8492-c2391847283c,00000000004,2025-03-29T00:00:01,false,6a2d55d4-ac8c-11ef-830a-c2391847283c,6a33d17a-ac8c-11ef-830a-c2391847283c,35626.06,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,9a47f570-0c82-11f0-8bb0-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
782fc386-1962-11f0-8603-c2391847283c,00000000005,2025-03-31T12:00:21,false,d18c5ed8-23bf-11ef-9c49-c2391847283c,d1a774f2-23bf-11ef-9c49-c2391847283c,31626.09,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,275c6130-1237-11f0-93f1-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
19a0f8b8-21ae-11f0-929d-c2391847283c,00000000006,2025-04-25T13:20:08,true,8a548684-68f3-11ef-9788-c2391847283c,8a5ec176-68f3-11ef-9788-c2391847283c,127245,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,e1e38152-1eb5-11f0-9db9-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
aa6205c0-25c5-11f0-992e-c2391847283c,00000000007,2025-04-29T16:29:17,true,8a548684-68f3-11ef-9788-c2391847283c,8a5ec176-68f3-11ef-9788-c2391847283c,29540,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,376daec6-20ce-11f0-845b-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
0b7ab95e-2f32-11f0-8bc1-c2391847283c,00000000008,2025-05-08T00:00:00,true,8a548684-68f3-11ef-9788-c2391847283c,8a5ec176-68f3-11ef-9788-c2391847283c,5880,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,dd8ca55c-29a5-11f0-8bd9-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
f0af22da-2f32-11f0-9572-c2391847283c,00000000009,2025-05-08T12:17:18,true,8a548684-68f3-11ef-9788-c2391847283c,8a5ec176-68f3-11ef-9788-c2391847283c,76840,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,77fe9c8a-25c8-11f0-8f52-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
e00fceb6-3f9a-11f0-9e3f-c2391847283c,00000000010,2025-05-30T00:00:00,true,653e1f80-e9b0-11ee-85e6-c2391847283c,65466eec-e9b0-11ee-85e6-c2391847283c,914204,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,a0aad0ae-f8c3-11ef-9f38-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
ac58851a-41dc-11f0-8dac-c2391847283c,00000000011,2025-06-03T11:58:42,true,8a548684-68f3-11ef-9788-c2391847283c,8a5ec176-68f3-11ef-9788-c2391847283c,76840,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,78c6b21a-41d9-11f0-8dac-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
f888ea2e-500f-11f0-8343-c2391847283c,00000000014,2025-06-26T00:00:00,true,653e1f80-e9b0-11ee-85e6-c2391847283c,65466eec-e9b0-11ee-85e6-c2391847283c,1281020,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,b7b0196c-2196-11ef-96ed-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
ab0db41e-570d-11f0-92ef-c2391847283c,00000000018,2025-06-27T00:00:00,true,d18c5ed8-23bf-11ef-9c49-c2391847283c,d1a774f2-23bf-11ef-9c49-c2391847283c,22127.52,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,3e03c7ec-4285-11f0-823e-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
bfad9a02-5adb-11f0-9d13-c2391847283c,00000000019,2025-06-29T12:00:02,true,d18c5ed8-23bf-11ef-9c49-c2391847283c,d1a774f2-23bf-11ef-9c49-c2391847283c,5647.89,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,e8dee9b4-58d6-11f0-9d13-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
20262cf0-570d-11f0-96de-c2391847283c,00000000017,2025-06-30T00:00:00,true,d18c5ed8-23bf-11ef-9c49-c2391847283c,d1a774f2-23bf-11ef-9c49-c2391847283c,131448.54,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,02bcd674-4ffa-11f0-824a-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
1145cb78-5348-11f0-9e0f-c2391847283c,00000000015,2025-06-30T00:00:00,true,d18c5ed8-23bf-11ef-9c49-c2391847283c,d1a774f2-23bf-11ef-9c49-c2391847283c,126620.72,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,17a98bb0-45fd-11f0-8d82-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
ec9141c6-5348-11f0-9e0f-c2391847283c,00000000016,2025-06-30T00:00:00,true,d18c5ed8-23bf-11ef-9c49-c2391847283c,d1a774f2-23bf-11ef-9c49-c2391847283c,37908.47,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,8d11b08c-44ed-11f0-81b0-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
