Ref_Key,Number,Date,Posted,Контрагент_Key,ДоговорКонтрагента_Key,СуммаДокумента,ВалютаДокумента_Key,Организация_Key
8e30f404-ff03-11ee-9960-c2391847283c,00000000001,2024-04-26T00:00:00,true,653e1f80-e9b0-11ee-85e6-c2391847283c,65466eec-e9b0-11ee-85e6-c2391847283c,22066735.5,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c
b7b0196c-2196-11ef-96ed-c2391847283c,00000000002,2024-06-10T00:00:00,true,653e1f80-e9b0-11ee-85e6-c2391847283c,65466eec-e9b0-11ee-85e6-c2391847283c,39826907.5,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c
6748378c-3778-11ef-877b-c2391847283c,00000000003,2024-07-03T00:00:00,true,653e1f80-e9b0-11ee-85e6-c2391847283c,65466eec-e9b0-11ee-85e6-c2391847283c,43188734,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c
81a1eb38-4b31-11ef-86a3-c2391847283c,00000000004,2024-07-26T15:00:00,true,653e1f80-e9b0-11ee-85e6-c2391847283c,65466eec-e9b0-11ee-85e6-c2391847283c,13322094,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c
0bdc9cfc-6465-11ef-953c-c2391847283c,00000000005,2024-08-27T16:11:01,true,653e1f80-e9b0-11ee-85e6-c2391847283c,65466eec-e9b0-11ee-85e6-c2391847283c,20327945,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c
ed5579d2-68f3-11ef-9788-c2391847283c,00000000006,2024-08-31T12:00:00,true,8a548684-68f3-11ef-9788-c2391847283c,8a5ec176-68f3-11ef-9788-c2391847283c,27000,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c
0089db2e-68f4-11ef-9788-c2391847283c,00000000007,2024-08-31T12:00:01,true,8a548684-68f3-11ef-9788-c2391847283c,8a5ec176-68f3-11ef-9788-c2391847283c,81740,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c
0ff329a8-68f4-11ef-9788-c2391847283c,00000000008,2024-08-31T12:00:02,true,8a548684-68f3-11ef-9788-c2391847283c,8a5ec176-68f3-11ef-9788-c2391847283c,22500,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c
f92758cc-69f0-11ef-9878-c2391847283c,00000000009,2024-09-03T17:35:16,true,4d9f5d60-4272-11ef-9a4e-c2391847283c,da301342-69b8-11ef-8d0c-c2391847283c,399554,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c
67a77f16-6fff-11ef-8af1-c2391847283c,00000000010,2024-09-11T10:33:41,true,653e1f80-e9b0-11ee-85e6-c2391847283c,65466eec-e9b0-11ee-85e6-c2391847283c,439980,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c
